"cycle","state","modeldate","candidate_name","start_date","end_date","pollster","samplesize","population","weight","influence","pct","house_adjusted_pct","trend_and_house_adjusted_pct","tracking","poll_id","question_id"
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44099",44126,"SurveyMonkey",9615,"lv","0.0476144",0.006119,52,50.68518,50.77949,"T",71777,134553
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44098",44125,"SurveyMonkey",9301,"lv","0.0464236",0.0055268,52,50.68518,50.79485,"T",71694,134354
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44096",44124,"SurveyMonkey",9131,"lv","0.089875",0.0097267,52,50.68518,50.81253,"T",71581,134129
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44095",44123,"SurveyMonkey",8803,"lv","0.0452541",0.0043384,52,50.68518,50.83089,"T",71479,133917
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44095",44122,"SurveyMonkey",8532,"lv","0",0,53,51.68642,51.85089,"T",71394,133733
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44093",44121,"SurveyMonkey",8360,"lv","0.0942056",0.0064614,53,51.68642,51.87418,"T",71312,133572
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44093",44120,"SurveyMonkey",8250,"lv","0",0,53,51.68642,51.89918,"T",71254,133455
20,"Pennsylvania",44138,"Joseph R. Biden Jr.","44092",44119,"SurveyMonkey",7804,"lv","0.0514985",0.0021273,53,51.68642,51.92569,"T",71193,133328
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44091",44118,"SurveyMonkey",7258,"lv","0.0514726",0.0014234,52,50.68518,50.95111,"T",71119,133178
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44090",44117,"SurveyMonkey",6946,"lv","0.0538964",0.0007444,52,50.68518,50.97828,"T",71025,132971
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44089",44116,"SurveyMonkey",6613,"lv","0.0548532",0,52,50.68518,51.00731,"T",70963,132793
20,"Pennsylvania",44138,"Joseph R. Biden Jr.","44075",44104,"SurveyMonkey",4613,"lv","0.5576418",0,51.74,50.42497,51.25911,"T",70307,131002
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44120",44133,"SurveyMonkey",5356,"lv","0.034702",0.0214054,51,49.35719,49.33493,"T",72368,135808
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44104",44131,"SurveyMonkey",8354,"lv","0.027237",0.007383,51,49.35719,49.32861,"T",72111,135238
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44101",44129,"SurveyMonkey",7766,"lv","0.0952857",0.017224,52,50.35776,50.35212,"T",72001,135004
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44101",44128,"SurveyMonkey",7620,"lv","0",0,52,50.35776,50.36425,"T",71916,134830
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44099",44127,"SurveyMonkey",7530,"lv","0.0723681",0.0104121,52,50.35776,50.3774,"T",71849,134695
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44099",44126,"SurveyMonkey",7271,"lv","0",0,52,50.35776,50.43579,"T",71788,134564
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44098",44125,"SurveyMonkey",7119,"lv","0.0468773",0.0026509,52,50.35776,50.45454,"T",71705,134365
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44097",44124,"SurveyMonkey",6850,"lv","0.0461326",0.0019437,52,50.35776,50.47496,"T",71592,134140
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44095",44123,"SurveyMonkey",6483,"lv","0.087368",0.0023439,52,50.35776,50.49634,"T",71490,133928
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44095",44122,"SurveyMonkey",6225,"lv","0",0,52,50.35776,50.51808,"T",71405,133745
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44094",44121,"SurveyMonkey",6100,"lv","0.0469036",0,52,50.35776,50.54639,"T",71323,133583
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44093",44120,"SurveyMonkey",5989,"lv","0.0483673",0,52,50.35776,50.5706,"T",71265,133466
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44092",44119,"SurveyMonkey",5735,"lv","0.0493451",0,52,50.35776,50.59957,"T",71204,133339
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44090",44077.5481651376,"SurveyMonkey",5387,"lv","0.0959435",0,52,50.35776,50.63032,"T",71130,133189
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44089",44077.5481651376,"SurveyMonkey",5112,"lv","0.0501925",0,52,50.35776,50.66297,"T",71036,132982
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44089",44116,"SurveyMonkey",4912,"lv","0",0,52,50.35776,50.69674,"T",70958,132788
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44075",44104,"SurveyMonkey",3475,"lv","0.5397518",0,52.21,50.56799,51.45257,"T",70318,131013
2020,"Wyoming",44138,"Joseph R. Biden Jr.","44124",44136,"SurveyMonkey",330,"lv","0.16555700000000001",0.165557,33,31.85685,31.8563,"T",72663,136416
2020,"Wyoming",44138,"Joseph R. Biden Jr.","44122",44135,"SurveyMonkey",361,"lv","2.5764100000000002E-2",0.0256049,34,32.84583,32.83956,"T",72525,136147
2020,"Wyoming",44138,"Joseph R. Biden Jr.","44121",44134,"Survey Monkey",378,"lv","1.3439599999999999E-2",0.0132735,33,31.85685,31.85175,"T",72424,135950
2020,"WY",44138,"Joseph R. Biden Jr.","44120",44133,"Survey Monkey",1,"LV","400",0.013703,33,31.85685,31.85221,"T",72345,135785
2020,"Wyoming",44138,"Joseph R. Biden Jr.","44105",44132,"SurveyMonkey",739,"lv","0.18673509999999999",0.1717317,31,29.88091,29.88982,"T",72242,135582
2020,"Wyoming",44138,"Biden","44104",44131,"SurveyMonkey",713,"lv","1.19884E-2",0.0109511,32,30.86854,30.87991,"T",72088,135215
2020,"Wyoming",44138,"Joseph R. Biden Jr.","44102",44129,"SurveyMonkey",654,"lv","2.1818000000000001E-2",0.0192559,31,29.88091,29.91348,"T",71978,134981
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44070",44079,"Morning Consult",763,"lv","6.88391E-2",0,50,49.89547,51.03762,"T",68496,128232
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44069",44078,"Morning Consult",775,"lv","7.2071899999999994E-2",0,51,50.89549,52.0688,"T",68490,128220
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44068",44077,"Morning Consult",797,"lv","7.6391700000000007E-2",0,52,51.89557,53.08863,"T",68488,128216
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44067",44076,"Morning Consult",1,"lv","7.9941899999999996E-2",0,52,51.89557,53.1062,"T",68471,128182
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44066",44075,"Morning Consult",809,"lv","8.1217899999999996E-2",0,52,51.89557,53.11373,"T",68457,128143
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44065",44074,"Morning Consult",819,"lv","8.4092399999999998E-2",0,53,52.8957,54.11799,"TR",68456,128142
20,"Wisconsin",44138,"Joseph R. Biden Jr.","44063",44072,"Morning Consult",797,"lv","8.65649E-2",0,51,50.89549,52.12911,"T",68455,128141
20,"Wisconsin",44138,"Joseph R. Biden Jr.","44062",44071,"Morning Consult",797,"lv","8.8981900000000003E-2",0,51,50.89549,52.13099,"T",68454,128140
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44060",44069,"Morning Consult",797,"lv","8.7095699999999998E-2",0,52,51.89557,53.11942,"T",68452,128138
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44059",44068,"Morning Consult",797,"lv","8.3614300000000003E-2",0,48.6147826086957,50.89549,52.11339,"T",68451,128137
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44058",44067,"Morning Consult",797,"lv","8.0740699999999999E-2",0,50,49.89547,51.10677,"T",68450,128136
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44057",44066,"Morning Consult",797,"lv","7.9411899999999994E-2",0,51,50.89549,52.09915,"T",68449,128135
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44056",44065,"Morning Consult",797,"lv","7.8624200000000005E-2",0,50,49.89547,51.08849,"T",68448,128134
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44055",44064,"Morning Consult",797,"lv","7.7895300000000001E-2",0,50,49.89547,51.07835,"T",68447,128133
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44054",44063,"Morning Consult",797,"lv","6.7429500000000003E-2",0,51,50.89549,52.02598,"T",68446,128132
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44053",44062,"Morning Consult",797,"lv","6.2436499999999999E-2",99,51,50.89549,51.99853,"T",68445,128131
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44052",44061,"Morning Consult",797,"lv","5.8175600000000001E-2",0,50,49.89547,50.98494,"T",68444,128130
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44051",44060,"Morning Consult",797,"lv","5.4175099999999997E-2",0,48,47.89558,48.99105,"T",68443,128129
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44049",44058,"Morning Consult",797,"lv","0.1051971",0,50,49.89547,51.00303,"T",68442,128128
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44048",44057,"Morning Consult",797,"lv","5.3208699999999998E-2",0,50,49.89547,51.00856,"T",68441,128127
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44047",44056,"NA",99,"lv","5.3966E-2",0,50,49.89547,51.01786,"T",68440,128126
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44046",44055,"Morning Consult",797,"lv","5.4838999999999999E-2",0,50,49.89547,51.03081,"T",68439,128125
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44045",44054,"Morning Consult",797,"lv","5.7292700000000002E-2",0,50,49.89547,51.06627,"T",68438,128124
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44044",44053,"Morning Consult",797,"lv","5.80641E-2",0,50,49.89547,51.07791,"T",68437,128123
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44043",44052,"Morning Consult",797,"lv","5.8877600000000002E-2",0,50,49.89547,51.08915,"T",68436,128122
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44042",44051,"Morning Consult",797,"lv","5.9852099999999998E-2",0,51,50.89549,52.09869,"T",68435,128121
2020,"Wisconsin",44138,"Biden","44041",44050,"Morning Consult",797,"lv","6.0893599999999999E-2",0,51,50.89549,52.10946,"T",68434,128120
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44040",44049,"Morning Consult",797,"lv","6.0919500000000001E-2",0,51,50.89549,52.12191,"T",68433,128119
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44039",44048,"Morning Consult",797,"lv","6.0877599999999997E-2",0,51,50.89549,52.13704,"T",68432,128118
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44038",44047,"Morning Consult",797,"NA","6.0896400000000003E-2",0,51,50.89549,52.14967,"T",68431,128117
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44037",44046,"Morning Consult",797,"lv","6.0923499999999998E-2",0,51,50.89549,52.16029,"T",68430,128116
2020,"WI",44138,"Joseph R. Biden Jr.","44036",44045,"Morning Consult",797,"lv","6.10143E-2",0,52,51.89557,53.17028,"T",68429,128115
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44035",44044,"Morning Consult",797,"lv","6.1227900000000002E-2",0,51,50.89549,52.18348,"T",68428,128114
2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44034",44043,"Morning Consult",797,"lv","6.1618699999999998E-2",0,50,49.89547,51.19632,"T",68427,128113
2020,"National",44138,"Joseph R. Biden Jr.","44114",44116,"SurveyMonkey",10971,"lv","2.22101E-2",0.0045781,51.78,50.7513,50.70082,"T",70923,132702
2020,"National",44138,"Joseph R. Biden Jr.","44113",44115,"SurveyMonkey",19886,"lv","4.1493299999999997E-2",0.007943,51.49,50.46113,50.42536,"T",70922,132701
2020,"National",44138,"Joseph R. Biden Jr.","44108",44110,"SurveyMonkey",20168,"lv","5.3283700000000003E-2",0.0039204,53.26,52.23285,52.36133,"T",70917,132696
2020,"National",44138,"Joseph R. Biden Jr.","44107",44109,"SurveyMonkey",12691,"lv","3.4547500000000002E-2",0.0020182,52.72,51.69215,51.84409,"T",70916,132695
2020,"National",44138,"Joseph R. Biden Jr.","44106",44108,"SurveyMonkey",12510,"lv","3.5309E-2",0.0015304,52.33,51.30174,51.47744,"T",70915,132694
2020,"National",44138,"Joseph R. Biden Jr.","44105",44107,"SurveyMonkey",17645,"lv","5.1527099999999999E-2",0.0014719,52.04,51.01149,51.21507,"T",70914,132693
2020,"National",44138,"Joseph R. Biden Jr.","44104",44106,"SurveyMonkey",21170,"lv","6.3986799999999996E-2",0.0009017,51.96,50.93142,51.1632,"T",70913,132692
2020,"National",44138,"Joseph R. Biden Jr.","44103",44105,"SurveyMonkey",24022,"lv","7.6857300000000003E-2",0,52.02,50.99147,51.35799,"T",70912,132691
2020,"National",44138,"Joseph R. Biden Jr.","44102",44104,"SurveyMonkey",24292,"lv","7.7295500000000003E-2",0,51.78,50.7513,51.1552,"T",70911,132690
2020,"National",44138,"Joseph R. Biden Jr.","44101",44103,"SurveyMonkey",20951,"lv","6.3304600000000003E-2",0,51.85,50.82134,51.39215,"T",70910,132689
2020,"National",44138,"Joseph R. Biden Jr.","44100",44102,"SurveyMonkey",15482,"lv","4.5748200000000003E-2",0,51.89,50.86137,51.47955,"T",70909,132688
2020,"National",44138,"Joseph R. Biden Jr.","44099",44101,"SurveyMonkey",15443,"lv","4.4618600000000001E-2",0,51.74,50.71127,51.3777,"T",70908,132687
2020,"National",44138,"Joseph R. Biden Jr.","44098",44100,"SurveyMonkey",21047,"lv","5.9536100000000002E-2",0,51.71,50.68125,51.3933,"T",70907,132686
2020,"National",44138,"Joseph R. Biden Jr.","44097",44099,"SurveyMonkey",23974,"lv","6.6786399999999996E-2",0,52.1,51.07154,51.82502,"T",70906,132685
2020,"National",44138,"Joseph R. Biden Jr.","44096",44098,"SurveyMonkey",22170,"lv","6.1273899999999999E-2",0,52.37,51.34178,52.13557,"T",70905,132684
2020,"National",44138,"Joseph R. Biden Jr.","44094",44096,"SurveyMonkey",13675,"lv","3.7966199999999999E-2",0,52.68,51.65211,52.52618,"T",70903,132682
2020,"National",44138,"Biden","44093",44095,"SurveyMonkey",9248,"lv","2.56242E-2",0,51.45,50.42111,51.33355,"T",70902,132681
2020,"National",44138,"Joseph R. Biden Jr.","44092",44094,"SurveyMonkey",8738,"lv","2.4128199999999999E-2",0,51.59,50.56118,51.50772,"T",70901,132680
2020,"National",44138,"Joseph R. Biden Jr.","44091",44093,"SurveyMonkey",12696,"lv","3.4951000000000003E-2",99,51.32,50.29105,51.27063,"T",70900,132679
2020,"National",44138,"Joseph R. Biden Jr.","44090",44092,"SurveyMonkey",16194,"lv","4.4641199999999999E-2",0,52.46,51.43187,52.44317,"T",70899,132678
2020,"National",44138,"Joseph R. Biden Jr.","44089",44091,"SurveyMonkey",18003,"lv","4.9757299999999997E-2",0,53.08,52.0526,53.09402,"T",70898,132677
2020,"NATl",44138,"Joseph R. Biden Jr.","44088",44090,"SurveyMonkey",18332,"lv","5.0981800000000001E-2",0,53.26,52.23285,53.30558,"T",70897,132676
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44124",44136,"SurveyMonkey",738,"lv","0.31803029999999999",0.3180303,32,31.39679,31.40447,"T",72664,136417
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44122",44135,"SurveyMonkey",798,"lv","4.7901600000000003E-2",0.0467876,33,32.39066,32.39459,"T",72526,136148
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44121",44134,"SurveyMonkey",805,"lv","2.3663799999999999E-2",0.0225631,32,31.39679,31.40177,"T",72425,135951
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44120",44133,"SurveyMonkey",791,"lv","2.28282E-2",0.0212355,32,31.39679,31.40299,"T",72346,135786
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44105",44132,"SurveyMonkey",1359,"lv","0.2470967",0.172393,32,31.39679,31.41024,"T",72243,135583
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44104",44131,"SurveyMonkey",1315,"lv","1.6175800000000001E-2",0.0109093,33,32.39066,32.40425,"T",72089,135216
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44102",44129,"SurveyMonkey",1271,"lv","3.4159200000000001E-2",0.0190656,33,32.39066,32.41539,"T",71979,134982
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44101",44128,"SurveyMonkey",1250,"lv","1.7196800000000002E-2",0.0091983,33,32.39066,32.42422,"T",71894,134808
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44100",44127,"SurveyMonkey",1223,"lv","1.7276799999999998E-2",0.0088393,33,32.39066,32.43481,"T",71827,134673
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44098",44126,"SurveyMonkey",1203,"lv","3.6966699999999998E-2",0.0154744,33,32.39066,32.48103,"T",71766,134542
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44098",44125,"SurveyMonkey",1154,"lv","0",0,32,31.39679,31.50196,"T",71683,134343
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44097",44124,"SurveyMonkey",1115,"lv","1.8966400000000001E-2",0.0070573,32,31.39679,31.51932,"T",71570,134118
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44096",44123,"SurveyMonkey",1075,"lv","1.8888800000000001E-2",0.0065891,32,31.39679,31.53761,"T",71468,133906
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44095",44122,"SurveyMonkey",1020,"lv","1.85693E-2",0.0060458,33,32.39066,32.55246,"T",71383,133722
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44094",44121,"SurveyMonkey",1002,"lv","1.8959699999999999E-2",0.005732,34,33.38488,33.57158,"T",71301,133561
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44093",44120,"SurveyMonkey",972,"lv","1.9180699999999998E-2",0.0053528,35,34.37946,34.59286,"T",71243,133444
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44092",44119,"SurveyMonkey",914,"lv","1.8878200000000001E-2",0.0048293,34,33.38488,33.62046,"T",71182,133317
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44090",44118,"SurveyMonkey",857,"lv","3.5916799999999999E-2",0.0083527,34,33.38488,33.64212,"T",71108,133167
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44090",44117,"SurveyMonkey",824,"lv","0",0,34,33.38488,33.66391,"T",71014,132960
2020,"West Virginia",44138,"Joseph R. Biden Jr.","44089",44116,"SurveyMonkey",771,"lv","1.87516E-2",0.0034887,34,33.38488,33.68737,"T",70973,132803
2020,"Vermont",44138,"Joseph R. Biden Jr.","44124",44136,"SurveyMonkey",719,"lv","0.24317949999999999",0.2431795,71,69.32835,69.35448,"T",72667,136420
2020,"Vermont",44138,"Joseph R. Biden Jr.","44122",44135,"SurveyMonkey",737,"lv","3.5382900000000002E-2",0.0350687,71,69.32835,69.34655,"T",72529,136151
2020,"Vermont",44138,"Joseph R. Biden Jr.","44121",44134,"SurveyMonkey",734,"lv","1.7527000000000001E-2",0.0172157,70,68.30879,68.33289,"T",72428,135954
2020,"Vermont",44138,"Joseph R. Biden Jr.","44120",44133,"SurveyMonkey",749,"lv","1.7801500000000001E-2",0.0173272,69,67.29033,67.32158,"T",72349,135789
2020,"Vermont",44138,"Joseph R. Biden Jr.","44105",44132,"SurveyMonkey",1167,"lv","0.199798",0.1767308,69,67.29033,67.37616,"T",72246,135586
2020,"Vermont",44138,"Joseph R. Biden Jr.","44104",44131,"SurveyMonkey",1087,"lv","1.2445700000000001E-2",0.0108983,68,66.27293,66.36275,"T",72092,135219
2020,"Vermont",44138,"Joseph R. Biden Jr.","44102",44129,"SurveyMonkey",1002,"lv","2.3364099999999999E-2",0.0194216,67,65.25658,65.38388,"T",71982,134985
2020,"Vermont",44138,"Joseph R. Biden Jr.","44100",44128,"SurveyMonkey",978,"lv","2.2118700000000002E-2",0.0181899,67,65.25658,65.39809,"T",71897,134811
2020,"Vermont",44138,"Joseph R. Biden Jr.","44100",44127,"SurveyMonkey",969,"lv","0",0,67,65.25658,65.41576,"T",71830,134676
2020,"Vermont",44138,"Joseph R. Biden Jr.","44098",44126,"SurveyMonkey",939,"lv","2.1749000000000001E-2",0.0169202,66,64.24128,64.47486,"T",71769,134545
2020,"Vermont",44138,"Joseph R. Biden Jr.","44097",44125,"SurveyMonkey",858,"lv","9.9644E-3",0.0076635,66,64.24128,64.48678,"T",71686,134346
2020,"Vermont",44138,"Joseph R. Biden Jr.","44096",44124,"SurveyMonkey",829,"lv","9.6588000000000004E-3",0.0073427,66,64.24128,64.50285,"T",71573,134121
2020,"Vermont",44138,"Joseph R. Biden Jr.","44096",44123,"SurveyMonkey",785,"lv","0",0,67,65.25658,65.53284,"T",71471,133909
2020,"Vermont",44138,"Joseph R. Biden Jr.","44095",44122,"SurveyMonkey",769,"lv","9.3480000000000004E-3",0.0069405,67,65.25658,65.55186,"T",71386,133725
2020,"Vermont",44138,"Joseph R. Biden Jr.","44094",44121,"SurveyMonkey",759,"lv","9.2644000000000008E-3",0.0067961,67,65.25658,65.57535,"T",71304,133564
2020,"Vermont",44138,"Joseph R. Biden Jr.","44093",44120,"SurveyMonkey",730,"lv","8.9510000000000006E-3",0.0064867,67,65.25658,65.60562,"T",71246,133447
2020,"Vermont",44138,"Joseph R. Biden Jr.","44092",44119,"SurveyMonkey",651,"lv","8.0219999999999996E-3",0.0057422,67,65.25658,65.63232,"T",71185,133320
2020,"Vermont",44138,"Joseph R. Biden Jr.","44091",44118,"SurveyMonkey",610,"lv","7.5573000000000003E-3",0.0053424,66,64.24128,64.64209,"T",71111,133170
2020,"Vermont",44138,"Joseph R. Biden Jr.","44089",44117,"SurveyMonkey",579,"lv","1.3931600000000001E-2",0.0097249,65,63.22701,63.64939,"T",71017,132963
2020,"Vermont",44138,"Joseph R. Biden Jr.","44088",44116,"SurveyMonkey",557,"lv","6.7445999999999999E-3",0.0046481,65,63.22701,63.67144,"T",70970,132800
2020,"Vermont",44138,"Joseph R. Biden Jr.","44075",44104,"SurveyMonkey",427,"lv","7.1819099999999997E-2",0.0405657,64.06,62.27453,63.14929,"T",70299,130994
2020,"Utah",44138,"Joseph R. Biden Jr.","44124",44136,"SurveyMonkey",1435,"lv","0.34797729999999999",0.3479773,44,42.30967,42.31537,"T",72669,136422
2020,"Utah",44138,"Joseph R. Biden Jr.","44122",44135,"SurveyMonkey",1519,"lv","5.1322699999999999E-2",0.0501292,43,41.31608,41.30889,"T",72531,136153
2020,"Utah",44138,"Joseph R. Biden Jr.","44121",44134,"SurveyMonkey",1511,"lv","2.4971899999999998E-2",0.0238104,43,41.31608,41.30848,"T",72430,135956
2020,"Utah",44138,"Joseph R. Biden Jr.","44120",44133,"SurveyMonkey",1517,"lv","2.4589E-2",0.0228734,44,42.30967,42.30033,"T",72351,135791
2020,"Utah",44138,"Joseph R. Biden Jr.","44105",44132,"SurveyMonkey",2783,"lv","0.27475379999999999",0.1916887,43,41.31608,41.32626,"T",72248,135588
2020,"Utah",44138,"Joseph R. Biden Jr.","44104",44131,"SurveyMonkey",2689,"lv","1.79548E-2",0.012109,43,41.31608,41.33171,"T",72094,135221
2020,"Utah",44138,"Joseph R. Biden Jr.","44101",44129,"SurveyMonkey",2466,"lv","5.2078800000000001E-2",0.0290673,45,43.30414,43.36729,"T",71984,134987
2020,"Utah",44138,"Joseph R. Biden Jr.","44101",44128,"SurveyMonkey",2434,"lv","0",0,45,43.30414,43.38609,"T",71899,134813
2020,"Utah",44138,"Joseph R. Biden Jr.","44100",44127,"SurveyMonkey",2398,"lv","1.8428E-2",0.0094283,45,43.30414,43.40615,"T",71832,134678
2020,"Utah",44138,"Joseph R. Biden Jr.","44098",44126,"SurveyMonkey",2340,"lv","3.9353199999999998E-2",0.0164734,45,43.30414,43.49363,"T",71771,134547
2020,"Utah",44138,"Joseph R. Biden Jr.","44098",44125,"SurveyMonkey",2304,"lv","0",0,45,43.30414,43.51869,"T",71688,134348
2020,"Utah",44138,"Joseph R. Biden Jr.","44097",44124,"SurveyMonkey",2279,"lv","2.1465399999999999E-2",0.0079871,45,43.30414,43.54066,"T",71575,134123
